"name" "district" "lat" "lon" "lead" "ideo" "sess"
"71" "Clair Burgener" "CA-42" "33.6790343407103" "-117.226238026781" 0.256535031117 0.940342478709 93
"72" "J. Burke" "FL-12" "28.2702313314511" "-82.4847422472769" 0.440153053561 0.703959112721 93
"73" "James Burke" "MA-11" "na" "na" 0.849416407194 0.500001947149 93
"74" "Yvonne Burke" "CA-37" "34.016667990953" "-118.364437633929" 0.57471791691 0.249378465417 93
"75" "Omar Burleson" "TX-17" "31.1627712910451" "-96.6561123641447" 0.547887615251 0.656473795942 93
"76" "William Burlison" "MO-10" "na" "na" 0.0403188229271 0.571600881751 93
"77" "John Burton" "CA-06" "38.5944204309787" "-121.478847269824" 0.0776519576708 0.463879773824 93
"78" "Phillip Burton" "CA-05" "38.5158335614866" "-122.460623875913" 0.686602979375 0.0841861480828 93
"79" "Manley Butler" "VA-06" "38.134593546782" "-79.1909824524439" 0.183439122904 0.752638394085 93
"80" "Goodloe Byron" "MD-06" "39.499099508291" "-78.3876422642537" 0.409398971027 0.649106241561 93
"81" "John Camp" "OK-06" "na" "na" 0.125663591107 0.776523007407 93
"82" "Hugh Carey" "NY-15" "40.8243999162313" "-73.8907313763742" 0.742898649169 0.42832790403 93
"83" "Charles Carney" "OH-19" "na" "na" 0.454827531715 0.41675825236 93
"84" "Tim Carter" "KY-05" "37.3692197814776" "-83.5219705687463" 0.451956523083 0.659650410538 93
"85" "Robert Casey" "TX-22" "29.517526670059" "-95.6832589382697" 0.728479890463 0.637129294976 93
"86" "Elford Cederberg" "MI-10" "43.4625349695473" "-82.870944576556" 0.471621648394 0.614710963727 93
"87" "Charles Chamberlain" "MI-06" "42.1674466084548" "-86.156256765622" 0.565397706613 0.564599955438 93
"88" "William Chappell" "FL-04" "30.4281943220157" "-81.865168189658" 0.587863497151 0.756478588566 93
"89" "Shirley Chisholm" "NY-12" "40.7501946245852" "-73.9506362709977" 0.024585210482 0.100555620885 93
"90" "Donald Clancy" "OH-02" "39.0202313943694" "-83.565605226926" 0.173171736228 0.672769952749 93
"91" "Frank Clark" "PA-25" "na" "na" 0.244812315402 0.61084879455 93
"92" "Donald Clausen" "CA-01" "40.7465854301742" "-121.508545673734" 0.388255752414 0.71248395007 93
"93" "Delwin Clawson" "CA-23" "35.6150936646872" "-118.53691630583" 0.00669231654131 0.622815958778 93
"94" "William Clay" "MO-01" "38.7275863431327" "-90.2945548201811" 0.222167998336 0.193571988169 93
"95" "James Cleveland" "NH-02" "43.7692552700434" "-71.7187242615671" 0.420138361442 0.951056905923 93
"96" "William Cohen" "ME-02" "45.5095372423922" "-69.0845373790357" 0.737756346792 0.734356297648 93
"97" "Harold Collier" "IL-06" "42.0282645541633" "-88.1792335136708" 0.0641615153767 0.739168656706 93
"98" "Cardiss Collins" "IL-07" "41.8636859357091" "-87.7324664145714" 0.489010330001 0.363753502158 93
"99" "George Collins" "IL-0-1" "na" "na" 0.0405532974706 0.499916941434 93
"100" "James Collins" "TX-03" "33.1580330290278" "-96.6150924718462" 0.555042311325 0.839228518819 93
"101" "Barber Conable" "NY-35" "na" "na" 0.440038865794 0.617423186359 93
"102" "John Conlan" "AZ-04" "34.6092081362327" "-113.222439406986" 0.0381211241991 0.819847150683 93
"103" "Silvio Conte" "MA-01" "42.3221458679498" "-72.8567114697364" 0.837525199534 0.598212513933 93
"104" "James Corman" "CA-22" "36.4874082809027" "-119.389447313576" 0.778583493254 0.193087136496 93
"105" "William Cotter" "CT-01" "41.8112833306503" "-72.8008785725926" 0.0149115247713 0.45205008362 93
"106" "Robert Coughlin" "PA-13" "40.1244338765016" "-75.1593745096461" 0.583232953921 0.725629580896 93
